date_raw,date_formatted,complaints,education,notices,education_notices,charges,individual_cost,cost_total,legislation,violation,violation_recoded,city,province,ranking
"August, 2020","August, 2020",1227,5679,77,5756,49,,,EMCPA,amenities and parks,use of parks and amenities,toronto,ontario,
"July, 2020","July, 2020",1963,8004,16,8020,142,,,EMCPA,amenities and parks,use of parks and amenities,toronto,ontario,
"June, 2020","June, 2020",2124,6461,47,6508,173,,,EMCPA,amenities and parks,use of parks and amenities,toronto,ontario,
"May, 2020","May, 2020",2476,4056,42,4098,151,,,EMCPA,amenities and parks,use of parks and amenities,toronto,ontario,
"April, 2020","April, 2020",7537,13465,36,13501,410,,,EMCPA,amenities and parks,use of parks and amenities,toronto,ontario,
"March, 2021","March, 2021",542,,,10,55,,,bylaw,,,ottawa,ontario,
"February, 2021","February, 2021",636,,,34,36,,,bylaw,,,ottawa,ontario,
"January, 2021","January, 2021",1360,,,39,39,,,bylaw,,,ottawa,ontario,
"December, 2020","December, 2020",647,,,17,38,,,bylaw,,,ottawa,ontario,
"November, 2020","November, 2020",414,,,2,7,,,bylaw,,,ottawa,ontario,
"October, 2020","October, 2020",795,,,15,40,,,bylaw,,,ottawa,ontario,
"September, 2020","September, 2020",459,,,5,5,,,bylaw,,,ottawa,ontario,
"August, 2020","August, 2020",499,,,44,2,,,bylaw,,,ottawa,ontario,
"July, 2020","July, 2020",634,,,68,1,,,bylaw,,,ottawa,ontario,
"June, 2020","June, 2020",968,,,124,10,,,bylaw,,,ottawa,ontario,
"May, 2020","May, 2020",2425,,,467,14,,,bylaw,,,ottawa,ontario,
"April, 2020","April, 2020",4142,,,357,117,,,bylaw,,,ottawa,ontario,
"March, 2020","March, 2020",132,,,31,0,,,bylaw,,,ottawa,ontario,
"February, 2021 (only to Feb 26)","February, 2021",,,,76,7,,,,public health act,,edmonton,alberta,
"January, 2021","January, 2021",,,,284,12,,,,public health act,,edmonton,alberta,
"December, 2020","December, 2020",,,,18,5,,,,public health act,,edmonton,alberta,
"November, 2020","November, 2020",,,,7,0,,,,public health act,,edmonton,alberta,
"October, 2020","October, 2020",,,,2,0,,,,public health act,,edmonton,alberta,
"September, 2020","September, 2020",,,,2,0,,,,public health act,,edmonton,alberta,
"August, 2020","August, 2020",,,,2,0,,,,public health act,,edmonton,alberta,
"February, 2021 (only to Feb 26)","February, 2021",,,,413,43,,,,face covering bylaw,,edmonton,alberta,
"January, 2021","January, 2021",,,,809,147,,,,face covering bylaw,,edmonton,alberta,
"December, 2020","December, 2020",,,,398,81,,,,face covering bylaw,,edmonton,alberta,
"November, 2020","November, 2020",,,,1502,86,,,,face covering bylaw,,edmonton,alberta,
"October, 2020","October, 2020",,,,1939,91,,,,face covering bylaw,,edmonton,alberta,
"September, 2020","September, 2020",,,,1743,88,,,,face covering bylaw,,edmonton,alberta,
"August, 2020","August, 2020",,,,2559,90,,,,face covering bylaw,,edmonton,alberta,
"March, 2021","March, 2021",,,,,3309,1521.699607,"5,035,304",,,,,quebec,
"February, 2021 (only to Feb 15)","February, 2021",,,,,2865,1530.576974,"5,348,558",,,,,quebec,
"January, 2021","January, 2021",,,,,1010,1508.15,"1,523,236",,,,,quebec,
"December, 2020","December, 2020",,,,,141,1564.29,"220,565",,,,,quebec,
"November, 2020","November, 2020",,,,,94,1407.9,"132,343",,,,,quebec,
"October, 2020","October, 2020",,,,,26,913.38,"23,748",,,,,quebec,
April 2020 to September 2020,"September, 2020",,,,,3756,1466.26,"5,507,255",,,,,quebec,
"March, 2020","March, 2020",,,,,,582.5,,EMA 23(a),Failing to comply with the Act/any regulations Ê,,,nova scotia,
"April, 2020","April, 2020",,,,,26,582.5,,EMA 23(a),Failing to comply with the Act/any regulations Ê,,,nova scotia,
"May, 2020","May, 2020",,,,,5,582.5,,EMA 23(a),Failing to comply with the Act/any regulations Ê,,,nova scotia,
"June, 2020","June, 2020",,,,,1,582.5,,EMA 23(a),Failing to comply with the Act/any regulations Ê,,,nova scotia,
"July, 2020","July, 2020",,,,,,582.5,,EMA 23(a),Failing to comply with the Act/any regulations Ê,,,nova scotia,
"August, 2020","August, 2020",,,,,1,582.5,,EMA 23(a),Failing to comply with the Act/any regulations Ê,,,nova scotia,
"September, 2020","September, 2020",,,,,,582.5,,EMA 23(a),Failing to comply with the Act/any regulations Ê,,,nova scotia,
"October, 2020","October, 2020",,,,,5,582.5,,EMA 23(a),Failing to comply with the Act/any regulations Ê,,,nova scotia,
"November, 2020","November, 2020",,,,,4,582.5,,EMA 23(a),Failing to comply with the Act/any regulations Ê,,,nova scotia,
"December, 2020","December, 2020",,,,,1,582.5,,EMA 23(a),Failing to comply with the Act/any regulations Ê,,,nova scotia,
"January, 2021","January, 2021",,,,,,582.5,,EMA 23(a),Failing to comply with the Act/any regulations Ê,,,nova scotia,
"February, 2021","February, 2021",,,,,1,582.5,,EMA 23(a),Failing to comply with the Act/any regulations Ê,,,nova scotia,
"March, 2020","March, 2020",,,,,5,697.5,,EMA 23(b),"Failing to comply with direction, order or requirement made under the Act/regulations ÊÊÊÊÊ",,,nova scotia,
"April, 2020","April, 2020",,,,,115,697.5,,EMA 23(b),"Failing to comply with direction, order or requirement made under the Act/regulations ÊÊÊÊÊ",,,nova scotia,
"May, 2020","May, 2020",,,,,9,697.5,,EMA 23(b),"Failing to comply with direction, order or requirement made under the Act/regulations ÊÊÊÊÊ",,,nova scotia,
"June, 2020","June, 2020",,,,,2,697.5,,EMA 23(b),"Failing to comply with direction, order or requirement made under the Act/regulations ÊÊÊÊÊ",,,nova scotia,
"July, 2020","July, 2020",,,,,3,697.5,,EMA 23(b),"Failing to comply with direction, order or requirement made under the Act/regulations ÊÊÊÊÊ",,,nova scotia,
"August, 2020","August, 2020",,,,,3,697.5,,EMA 23(b),"Failing to comply with direction, order or requirement made under the Act/regulations ÊÊÊÊÊ",,,nova scotia,
"September, 2020","September, 2020",,,,,1,697.5,,EMA 23(b),"Failing to comply with direction, order or requirement made under the Act/regulations ÊÊÊÊÊ",,,nova scotia,
"October, 2020","October, 2020",,,,,18,697.5,,EMA 23(b),"Failing to comply with direction, order or requirement made under the Act/regulations ÊÊÊÊÊ",,,nova scotia,
